acc;site;main_class;sub_class_1;sub_class_all;protein_names;binding_sites;area_a2;alpha_seeds;beta_seeds;hydrophobicity;pdbs
Q8N3J6;2;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;IG_AdhesionProteins";Cell adhesion molecule 2;[202, 43];[1334.0007197852906, 1887.7758502996264];[51, 54];[243, 1642];[-3.4999, -1.3];[]
Q8N126;2;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;IG_AdhesionProteins";Cell adhesion molecule 3;[284, 160];[1199.1783014291223, 946.2219151734107];[135, 45];[1056, 874];[5.6, -18.9];['1Z9M']
Q8NFZ8;1;Unclassified;Unclassified;Unclassified;Cell adhesion molecule 4;[304];[1806.5127385503527];[20];[211];[15.2999];[]
O43570;1;Enzymes;Lyases;4.2.1;Carbonic anhydrase 12;[222];[1285.680115890993];[90];[135];[-6.9999];['1JCZ', '1JD0', '4HT2', '4KP5', '4KP8', '4Q0L', '4QJ0', '4QJO', '4QJW', '4WW8', '5LL5', '5LL9', '5LLO', '5LLP', '5MSA', '5MSB', '6G5L', '6G7A', '6QN0', '6QNG', '6QNL', '6R6Y', '6R71', '6RPS', '6T5P', '6T5Q', '7PP9', '7PUU', '7PUV', '7PUW']
Q9ULX7;1;Enzymes;Lyases;4.2.1;Carbonic anhydrase 14;[212];[1370.6970430103606];[3];[9];[-5.1];['4LU3', '5CJF']
P22748;2;Enzymes;Lyases;4.2.1;Carbonic anhydrase 4;[125, 107];[2347.9367557247424, 998.7425569498967];[39, 10];[696, 108];[-29.6, -8.8];['1ZNC', '3F7B', '3F7U', '3FW3', '5IPZ', '5JN8', '5JN9', '5JNA', '5JNC', '5KU6']
Q5VU97;3;Transporters;AuxillaryTransportUnit;"AuxillaryTransportUnit;CACNA2D";VWFA and cache domain-containing protein 1;[951, 765, 424];[1868.8526026985592, 1943.219142871313, 1833.3037364939385];[3, 10, 215];[2, 9, 654];[-0.6999, 5.79999, 2.69999];[]
Q9HA72;3;Enzymes;Hydrolases;3.1.3;Calcium homeostasis modulator protein 2;[254, 231, 120];[833.2227059332347, 1974.8047541955991, 1147.0369778767367];[1035, 4463, 1346];[754, 1834, 2324];[19.0, -17.499, 15.0999];['6LMU', '6LMW', '6LMX', '6UIV', '6UIW', '6UIX', '6VAI', '6VAK', '6VAL']
P30988;1;Receptors;GPCR;"GPCR;Secretin";Calcitonin receptor;[402];[1426.3825484971298];[0];[94];[9.29999];['5II0', '5UZ7', '6NIY', '6PFO', '6PGQ', '7TYF', '7TYH', '7TYI', '7TYL', '7TYN', '7TYO', '7TYW', '7TYX', '7TYY', '7TZF']
Q16602;1;Receptors;GPCR;"GPCR;Secretin";Calcitonin gene-related peptide type 1 receptor;[395];[1275.6142203183242];[7];[247];[-0.4999];['3AQF', '3N7P', '3N7R', '3N7S', '4RWF', '4RWG', '5V6Y', '6D1U', '6E3Y', '6UMG', '6UUN', '6UUS', '6UVA', '6V2E', '6ZHO', '6ZIS', '7KNT', '7KNU', '7P0F', '7P0I', '8AX5', '8AX6', '8AX7']
Q9NYX4;0;Unclassified;Unclassified;Unclassified;Neuron-specific vesicular protein calcyon;[];[];[];[];[];[]
Q96PB1;1;Unclassified;Unclassified;Unclassified;N-acetylneuraminate 9-O-acetyltransferase;[37];[1626.9379449928535];[169];[442];[26.2];[]
P41180;1;Receptors;GPCR;"GPCR;Glutamate";Extracellular calcium-sensing receptor;[108];[3496.6252029248094];[40];[1343];[3.2];['5FBH', '5FBK', '5K5S', '5K5T', '7DTT', '7DTU', '7DTV', '7DTW', '7E6T', '7E6U', '7M3E', '7M3F', '7M3G', '7M3J', '7SIL', '7SIM', '7SIN']
O75976;2;Enzymes;Hydrolases;3.4.17;Carboxypeptidase D;[436, 742];[4974.89619615826, 1530.7615765617059];[70, 50];[614, 1085];[-38.7, -21.8];['5AQ0']
P14384;1;Enzymes;Hydrolases;3.4.17;Carboxypeptidase M;[202];[5238.35655562889];[2222];[10116];[-68.599];['1UWY']
F5H4A9;2;Unmatched;Unmatched;Unmatched;Uncharacterized membrane protein C3orf80;[202, 66];[1260.9714896705088, 1206.809656620731];[0, 0];[7, 3];[-1.0, 1.59999];[]
Q9NV96;2;Miscellaneous;Unknown_function;"Unknown_function;TMEM30";Cell cycle control protein 50A;[324, 43];[6095.290723003302, 1357.7755948559573];[67, 0];[144, 12];[76.4, 21.5999];['6K7G', '6K7H', '6K7I', '6K7J', '6K7K', '6K7L', '6K7M', '6K7N', '6LKN', '7BSP', '7BSQ', '7BSS', '7BSU', '7BSV', '7BSW', '7PY4', '7VGI', '7VGJ', '7VSG', '7VSH']
A0ZSE6;1;Miscellaneous;Unknown_function;"Unknown_function;TMEM30";Cell cycle control protein 50C;[67];[3286.3062406679587];[51];[1516];[6.99999];[]
Q06432;1;Transporters;AuxillaryTransportUnit;"AuxillaryTransportUnit;CACNG";Voltage-dependent calcium channel gamma-1 subunit;[27];[3423.3087691853398];[135];[270];[70.8];[]
Q9Y698;0;Transporters;AuxillaryTransportUnit;"AuxillaryTransportUnit;CACNG";Voltage-dependent calcium channel gamma-2 subunit;[];[];[];[];[];['6DLZ', '6DM0', '6DM1', '6O9G', '6TNO']
O60359;1;Transporters;AuxillaryTransportUnit;"AuxillaryTransportUnit;CACNG";Voltage-dependent calcium channel gamma-3 subunit;[31];[2007.2616726675758];[53];[1326];[19.4];[]
Q9UBN1;0;Transporters;AuxillaryTransportUnit;"AuxillaryTransportUnit;CACNG";Voltage-dependent calcium channel gamma-4 subunit;[];[];[];[];[];[]
Q9UF02;1;Transporters;AuxillaryTransportUnit;"AuxillaryTransportUnit;CACNG";Voltage-dependent calcium channel gamma-5 subunit;[25];[2715.121838715924];[479];[1092];[57.8];[]
Q9BXT2;0;Transporters;AuxillaryTransportUnit;"AuxillaryTransportUnit;CACNG";Voltage-dependent calcium channel gamma-6 subunit;[];[];[];[];[];[]
P62955;0;Transporters;AuxillaryTransportUnit;"AuxillaryTransportUnit;CACNG";Voltage-dependent calcium channel gamma-7 subunit;[];[];[];[];[];[]
Q8WXS5;0;Transporters;AuxillaryTransportUnit;"AuxillaryTransportUnit;CACNG";Voltage-dependent calcium channel gamma-8 subunit;[];[];[];[];[];[]
Q8WXS4;0;Transporters;AuxillaryTransportUnit;"AuxillaryTransportUnit;CACNG";Voltage-dependent calcium channel gamma-like subunit;[];[];[];[];[];[]
P32238;0;Receptors;GPCR;"GPCR;Rhodopsin";Cholecystokinin receptor type A;[];[];[];[];[];['1D6G', '1HZN', '7EZH', '7EZK', '7EZM', '7F8U', '7F8X', '7F8Y', '7MBX', '7MBY', '7XOU', '7XOV']
P46092;0;Receptors;GPCR;"GPCR;Rhodopsin";C-C chemokine receptor type 10;[];[];[];[];[];[]
P32246;2;Receptors;GPCR;"GPCR;Rhodopsin";C-C chemokine receptor type 1;[279, 316];[1104.3586356031915, 1968.1662974229025];[2, 2];[7, 236];[26.0, 11.9];['7VL8', '7VL9', '7VLA']
P41597;0;Unclassified;Unclassified;Unclassified;C-C chemokine receptor type 2;[];[];[];[];[];['2MLO', '2MLQ', '5T1A', '7P8X', '7XA3']
P51677;1;Receptors;GPCR;"GPCR;Rhodopsin";C-C chemokine receptor type 3;[279];[1400.5173507589914];[307];[772];[45.4];['7X9Y']
P51679;0;Receptors;GPCR;"GPCR;Rhodopsin";C-C chemokine receptor type 4;[];[];[];[];[];[]
P51681;1;Unclassified;Unclassified;Unclassified;C-C chemokine receptor type 5;[275];[1034.2762969676667];[1073];[1903];[23.9];['2L87', '2MZX', '2RLL', '2RRS', '4MBS', '5UIW', '5YD3', '5YD4', '5YD5', '5YY4', '6FGP', '6MEO', '6MET', '7F1Q', '7F1R', '7F1S', '7NJZ', '7NW3', '7O7F']
P51684;0;Receptors;GPCR;"GPCR;Rhodopsin";C-C chemokine receptor type 6;[];[];[];[];[];['6WWZ']
P32248;0;Receptors;GPCR;"GPCR;Rhodopsin";C-C chemokine receptor type 7;[];[];[];[];[];['6QZH']
P51685;0;Receptors;GPCR;"GPCR;Rhodopsin";C-C chemokine receptor type 8;[];[];[];[];[];[]
P51686;1;Receptors;GPCR;"GPCR;Rhodopsin";C-C chemokine receptor type 9;[328];[955.8559387189471];[475];[479];[35.6999];['5LWE']
O00421;0;Receptors;GPCR;"GPCR;Rhodopsin";C-C chemokine receptor-like 2;[];[];[];[];[];[]
Q6YHK3;7;Unmatched;Unmatched;Unmatched;CD109 antigen;[1345, 1230, 1153, 238, 579, 634, 73];[785.2327449694538, 1225.0359360738357, 1404.2211333571952, 2660.5905776411405, 2047.7488510279777, 1075.1474477635074, 1686.9305352225995];[1, 83, 36, 166, 15, 6, 9];[8, 2860, 102, 456, 192, 16, 209];[0.09999, 16.8, 4.1, -1.6999, -21.3, 8.7, 7.0];[]
P08571;2;Unmatched;Unmatched;Unmatched;Monocyte differentiation antigen CD14;[109, 326];[2354.1099852890466, 1480.3832294793067];[2, 286];[6, 2921];[60.1999, 0.5];['4GLP']
P48509;1;Miscellaneous;Other;"Other;Tetraspanin";CD151 antigen;[122];[1706.2501664893423];[715];[1073];[18.3];[]
Q13740;3;Unclassified;Unclassified;Unclassified;CD166 antigen;[466, 129, 55];[1808.626720125463, 1447.8842291798103, 1372.6985478114534];[254, 4, 4908];[427, 27, 8527];[-21.0, -25.099, -7.3999];['5A2F']
Q8N6Q3;2;Unmatched;Unmatched;Unmatched;CD177 antigen;[172, 119];[3985.9437727592162, 1535.0426752913754];[33, 621];[217, 2276];[-21.799, -11.6];[]
Q99467;2;Receptors;Other_receptors;"Other_receptors;TOLL";CD180 antigen;[353, 91];[5024.787014602935, 587.4431135617239];[16, 18];[76, 668];[-102.9, 3.89999];['3B2D']
P15391;1;Unclassified;Unclassified;Unclassified;B-lymphocyte antigen CD19;[72];[3210.572719839948];[143];[141];[16.9999];['6AL5', '7JIC', '7URV', '7URX']
P06126;1;Receptors;IG;"IG;OtherCD1";T-cell surface glycoprotein CD1a;[87];[1585.612620740549];[0];[0];[31.1];['1ONQ', '1XZ0', '4X6C', '4X6D', '4X6E', '4X6F', '5J1A', '6NUX', '7KOZ', '7KP0', '7KP1', '7RYM', '7RYN', '7RYO', '7SH4']
P29016;0;Receptors;IG;"IG;OtherCD1";T-cell surface glycoprotein CD1b;[];[];[];[];[];['1GZP', '1GZQ', '1UQS', '2H26', '3OV6', '3T8X', '4ONO', '5C9J', '5L2J', '5L2K', '5WKE', '5WKG', '5WKI', '5WL1', '6CUG', '6D64']
P29017;1;Receptors;IG;"IG;OtherCD1";T-cell surface glycoprotein CD1c;[91];[2417.0221235064337];[0];[34];[71.9999];['3OV6', '4ONO', '5C9J', '6C09', '6C15']
P15813;2;Receptors;IG;"IG;OtherCD1";Antigen-presenting glycoprotein CD1d;[91, 254];[2079.823348468295, 2241.692746391674];[220, 2];[1019, 13];[89.3999, -15.699];['1ZT4', '2PO6', '3HUJ', '3SDX', '3TZV', '3U0P', '3VWJ', '3VWK', '4EN3', '4LHU', '4MNG', '4MQ7', '4WO4', '4WW2', '4WWK', '6V7Y', '6V7Z', '6V80']
P15812;2;Receptors;IG;"IG;OtherCD1";T-cell surface glycoprotein CD1e, membrane-associated;[100, 229];[2128.03186343952, 1717.9477509871526];[21, 4];[21, 155];[78.0999, 3.59999];['3S6C']
P11836;0;Miscellaneous;Unknown_function;"Unknown_function;MS4A";B-lymphocyte antigen CD20;[];[];[];[];[];['2OSL', '3BKY', '3PP4', '6VJA', '6Y90', '6Y92', '6Y97', '6Y9A']
Q15762;3;Receptors;IG;"IG;OtherOther";CD226 antigen;[36, 23, 150];[967.4424039210475, 2254.506759834344, 1409.8170467900345];[24, 150, 99];[242, 541, 341];[-3.4, -24.799, 17.6];['6ISB', '6O3O']
P20273;4;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;IG_AdhesionProteins";B-cell receptor CD22;[679, 357, 193, 141];[4059.877665202947, 1538.71155130454, 2083.1065067167688, 980.960172903216];[4, 3, 37, 45];[134, 1206, 1411, 69];[29.3999, -8.8, -18.3, -16.199];['5VKJ', '5VKM', '5VL3', '7O52']
Q9BZW8;1;Unclassified;Unclassified;Unclassified;Natural killer cell receptor 2B4;[31];[4309.956197447593];[111];[111];[7.49999];[]
Q9HCU0;3;Receptors;SCAR;"SCAR;Class_E";Endosialin;[182, 82, 299];[3425.841048004511, 771.1231154453866, 977.5224560532047];[3, 338, 48];[13, 393, 483];[5.6, 5.6, 10.2999];[]
P25063;1;Unmatched;Unmatched;Unmatched;Signal transducer CD24;[11];[2653.5985947321788];[10];[12];[61.5999];[]
Q5ZPR3;2;Miscellaneous;Other;"Other;Butyrophylin";CD276 antigen;[38, 258];[1719.2482152053608, 2041.0894503042573];[105, 151];[1376, 1078];[8.3, -4.6999];[]
P26842;0;Receptors;Other_receptors;"Other_receptors;TNFNGF";CD27 antigen;[];[];[];[];[];['5TL5', '5TLJ', '5TLK', '7KX0', '8DS5']
P10747;3;Unclassified;Unclassified;Unclassified;T-cell-specific surface glycoprotein CD28;[131, 70, 115];[1793.9620758992617, 1228.349928472428, 1557.6047404573787];[225, 298, 4];[5158, 860, 60];[-2.1, -19.599, -43.9];['1YJD', '3WA4', '5AUL', '5GJH', '5GJI', '6O8D', '7PPN', '7VU5']
P06729;1;Unclassified;Unclassified;Unclassified;T-cell surface antigen CD2;[33];[2747.327623701085];[8];[24];[-29.699];['1CDB', '1GYA', '1HNF', '1L2Z', '1QA9', '2J6O', '2J7I']
Q8IX05;1;Receptors;SCAR;"SCAR;MacrophageMannoseR";CD302 antigen;[90];[855.4620791130912];[174];[660];[-3.0999];['2NAN']
Q9NPF0;1;Unclassified;Unclassified;Unclassified;CD320 antigen;[69];[2368.863253456155];[4];[8];[-14.099];['4ZRP', '4ZRQ', '7QBD', '7QBE', '7QBF', '7QBG']
P20138;2;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;IG_AdhesionProteins";Myeloid cell surface antigen CD33;[187, 91];[977.3616918365485, 2013.1424626194337];[7, 26];[138, 619];[3.59999, 5.99999];['5IHB', '5J06', '5J0B', '6D48', '6D49', '6D4A', '6TL8', '7AW6']
P28906;1;Unclassified;Unclassified;Unclassified;Hematopoietic progenitor cell antigen CD34;[232];[743.5779413394674];[0];[2];[25.6];[]
P16671;1;Receptors;SCAR;"SCAR;Class_B";Platelet glycoprotein 4;[145];[1619.4113095563641];[0];[1];[31.6];['5LGD']
P11049;1;Miscellaneous;Other;"Other;Tetraspanin";Leukocyte antigen CD37;[234];[2594.19379260941];[38];[9];[38.0];[]
P28907;2;Enzymes;Hydrolases;3.2.2;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1;[284, 186];[900.6715366529729, 1063.011785623446];[4083, 0];[5854, 0];[-11.4, -24.8];['1YH3', '1ZVM', '2EF1', '2HCT', '2I65', '2I66', '2I67', '2O3Q', '2O3R', '2O3S', '2O3T', '2O3U', '2PGJ', '2PGL', '3DZF', '3DZG', '3DZH', '3DZI', '3DZJ', '3DZK', '3F6Y', '3I9M', '3I9N', '3OFS', '3RAJ', '3ROK', '3ROM', '3ROP', '3ROQ', '3U4H', '3U4I', '4CMH', '4F45', '4F46', '4OGW', '4TMF', '4XJS', '4XJT', '5F1K', '5F1O', '5F21', '6EDR', '6VUA', '7DHA', '7DUO', '7VKE', '8D0M', '8IL3']
P04234;2;Unmatched;Unmatched;Unmatched;T-cell surface glycoprotein CD3 delta chain;[90, 59];[3469.332519784012, 2020.7846776375004];[583, 1142];[2987, 2563];[9.4, -3.5];['1XIW', '6JXR', '7FJD', '7FJE', '7FJF', '7PHR']
P09693;2;Unclassified;Unclassified;Unclassified;T-cell surface glycoprotein CD3 gamma chain;[110, 13];[4707.218733363866, 1217.5796955838432];[24, 3];[323, 23];[30.9999, 38.0999];['1SY6', '6JXR', '7FJD', '7FJE', '7FJF', '7PHR', '7Q5U']
P29965;2;Unclassified;Unclassified;Unclassified;CD40 ligand;[172, 69];[3121.152714868743, 2141.9908128714983];[18, 0];[181, 3];[30.0, 8.2];['1ALY', '1I9R', '3LKJ', '3QD6', '6BRB', '6W9G', '7SGM']
P16070;1;Unclassified;Unclassified;Unclassified;CD44 antigen;[78];[1686.1117818779412];[0];[0];[-19.7];['1POZ', '1UUH', '2I83', '4PZ3', '4PZ4', '6TXS']
Q08722;0;Unclassified;Unclassified;Unclassified;Leukocyte surface antigen CD47;[];[];[];[];[];['2JJS', '2JJT', '2VSC', '4CMM', '4KJY', '5IWL', '5TZ2', '5TZT', '5TZU', '7MYZ', '7WN8', '7YGG']
P09326;3;Unclassified;Unclassified;Unclassified;CD48 antigen;[209, 35, 240];[1146.0805374466436, 1598.8164243828307, 514.1067054985915];[110, 325, 8];[312, 3554, 97];[16.6, 6.1, 12.1];['2EDO']
P01730;3;Unclassified;Unclassified;Unclassified;T-cell surface glycoprotein CD4;[435, 319, 202];[992.7869117656744, 1956.0802802037867, 1386.0037744758238];[11, 5, 416];[171, 164, 881];[-1.4, -9.2999, 17.9];['1CDH', '1CDI', '1CDJ', '1CDU', '1CDY', '1G9M', '1G9N', '1GC1', '1JL4', '1Q68', '1RZJ', '1RZK', '1WBR', '1WIO', '1WIP', '1WIQ', '2B4C', '2JKR', '2JKT', '2KLU', '2NXY', '2NXZ', '2NY0', '2NY1', '2NY2', '2NY3', '2NY4', '2NY5', '2NY6', '2QAD', '3B71', '3CD4', '3J70', '3JCB', '3JCC', '3JWD', '3JWO', '3LQA', '3O2D', '3S4S', '3S5L', '3T0E', '4H8W', '4JM2', '4P9H', '4Q6I', '4R2G', '4R4H', '4RQS', '5A7X', '5A8H', '5CAY', '5THR', '5U1F', '5VN3', '6CM3', '6EDU', '6L1Y', '6MEO', '6MET', '6OPN', '6OPO', '6OPP', '6OPQ', '6QH6', '6QH7', '6U0L', '6U0N', '6URI', '6X5B', '6X5C', '7T0O', '7T0R', '8D5C']
P31358;0;Unclassified;Unclassified;Unclassified;CAMPATH-1 antigen;[];[];[];[];[];['6OBD']
P19397;0;Miscellaneous;Other;"Other;Tetraspanin";Leukocyte surface antigen CD53;[];[];[];[];[];['6WVG']
P13987;1;Unmatched;Unmatched;Unmatched;CD59 glycoprotein;[63];[830.9415606008781];[811];[2468];[-19.6];['1CDQ', '1CDR', '1CDS', '1ERG', '1ERH', '2J8B', '2OFS', '2UWR', '2UX2', '4BIK', '5IMT', '5IMY', '6ZD0', '8B0F', '8B0G', '8B0H']
P06127;1;Unclassified;Unclassified;Unclassified;T-cell surface glycoprotein CD5;[352];[2980.0643705724424];[0];[0];[-26.5];['2JA4', '2JOP', '2JP0', '2OTT']
P08962;1;Miscellaneous;Other;"Other;Tetraspanin";CD63 antigen;[195];[2229.9926408627216];[116];[33];[14.2999];[]
P34810;0;Receptors;SCAR;"SCAR;Class_D";Macrosialin;[];[];[];[];[];[]
Q07108;1;Receptors;SCAR;"SCAR;Class_E";Early activation antigen CD69;[98];[1624.8823349849488];[20];[522];[-10.4];['1E87', '1E8I', '1FM5', '3CCK', '3HUP']
P30203;1;Unclassified;Unclassified;Unclassified;T-cell differentiation antigen CD6;[170];[1255.0687861402644];[26];[78];[1.89999];['5A2E']
P32970;2;Unclassified;Unclassified;Unclassified;CD70 antigen;[188, 73];[1796.422408368157, 1294.944129635106];[57, 43];[160, 58];[9.4, -15.799];['7KX0']
P11912;1;Unclassified;Unclassified;Unclassified;B-cell antigen receptor complex-associated protein alpha chain;[103];[2660.9726108218542];[0];[0];[-13.8];['1CV9', '7WSO', '7WSP', '7XQ8', '7XT6']
P40259;2;Unclassified;Unclassified;Unclassified;B-cell antigen receptor complex-associated protein beta chain;[53, 17];[4515.928708090562, 1388.0952606961303];[6, 0];[568, 22];[-38.0, 25.2];['3KG5', '7WSO', '7WSP', '7XQ8', '7XT6']
P09564;2;Unclassified;Unclassified;Unclassified;T-cell antigen CD7;[126, 12];[2562.283550044253, 1603.0891843171853];[196, 0];[1120, 4];[-14.799, 29.7];[]
P33681;2;Unclassified;Unclassified;Unclassified;T-lymphocyte activation antigen CD80;[93, 65];[1944.3468194935742, 1326.0745978755665];[154, 469];[1668, 4787];[7.2, -12.999];['1DR9', '1I8L', '7TPS']
P27701;1;Miscellaneous;Other;"Other;Tetraspanin";CD82 antigen;[143];[1582.4719977143218];[128];[25];[29.3];[]
Q01151;1;Unclassified;Unclassified;Unclassified;CD83 antigen;[18];[2893.7621054217166];[0];[57];[13.4];['5MIX', '5MJ0', '5MJ1', '5MJ2']
P42081;2;Miscellaneous;Other;"Other;Butyrophylin";T-lymphocyte activation antigen CD86;[56, 228];[1142.211530345917, 947.0996218616914];[651, 183];[1811, 538];[-5.6999, 2.99999];['1I85', '1NCN', '5YXK']
P01732;2;Unclassified;Unclassified;Unclassified;T-cell surface glycoprotein CD8 alpha chain;[57, 13];[3154.2061480939574, 1293.3225248345311];[440, 1];[728, 221];[-7.2, 22.5];['1AKJ', '1CD8', '1Q69', '2HP4', '3QZW', '7UMG', '7UVF', '8EW6']
P10966;1;Unclassified;Unclassified;Unclassified;T-cell surface glycoprotein CD8 beta chain;[38];[824.4433119447583];[244];[2491];[-0.8999];[]
P21926;1;Miscellaneous;Other;"Other;Tetraspanin";CD9 antigen;[121];[1729.3831482462197];[130];[39];[59.5999];['6K4J', '6RLO', '6RLR', '6Z1V', '6Z20']
Q9H5V8;2;Unclassified;Unclassified;Unclassified;CUB domain-containing protein 1;[256, 575];[782.9512117861523, 2393.4473795233284];[207, 1];[1925, 6];[7.89999, -10.8];[]
Q96JP9;4;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;ProtocadherinsOther";Cadherin-related family member 1;[560, 253, 213, 42];[1263.483600240546, 2993.480134756105, 1887.5380976704103, 1117.940593916739];[4, 58, 96, 96];[1133, 115, 500, 305];[5.0, -1.9999, 1.3, 4.6];[]
Q9BYE9;7;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;ProtocadherinsOther";Cadherin-related family member 2;[1051, 951, 966, 34, 161, 891, 755];[1080.3446504250016, 3133.7402233595985, 933.7957526756284, 1681.52583230559, 3230.137666829333, 2466.864848433943, 877.4357743956999];[61, 113, 65, 117, 0, 10, 66];[114, 215, 85, 2068, 147, 555, 749];[17.5999, 17.1999, 20.8, 23.2, 34.9, 33.9999, 5.29999];['5CZR', '7N86']
Q6ZTQ4;6;Unclassified;Unclassified;Unclassified;Cadherin-related family member 3;[46, 227, 246, 446, 365, 499];[1225.0551346956074, 2541.2899540993753, 1078.9848450122258, 602.7248286412414, 833.451731916191, 2223.22444794896];[246, 377, 121, 3, 9, 17];[278, 1933, 3054, 57, 190, 481];[12.7, -11.8, -3.8, -7.8, 14.0999, 2.1];['6PPO', '6PSF', '7KNV']
A6H8M9;3;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;ProtocadherinsOther";Cadherin-related family member 4;[152, 40, 432];[2857.6805259442926, 1939.7182063172852, 4187.332854860975];[1568, 2, 196];[8748, 81, 125];[17.5, 27.9, -21.6];[]
Q9HBB8;3;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;ProtocadherinsOther";Cadherin-related family member 5;[337, 161, 109];[3340.286753401001, 1117.9035541515022, 1443.272487519624];[1, 930, 18];[6, 534, 220];[6.19999, 7.69999, 15.6];['6OAE']
Q4KMG0;2;Receptors;IG;"IG;NetrinR";Cell adhesion molecule-related/down-regulated by oncogenes;[637, 111];[6710.696144362174, 2394.851012092877];[0, 45];[0, 38];[47.3999, 36.2999];['3D1M', '3N1F', '3N1Q']
Q7Z692;2;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;IG_AdhesionProteins";Carcinoembryonic antigen-related cell adhesion molecule 19;[20, 108];[1490.1861621113414, 1291.8996936432109];[0, 809];[25, 2884];[31.9, -13.2];[]
Q6UY09;1;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;IG_AdhesionProteins";Carcinoembryonic antigen-related cell adhesion molecule 20;[242];[1175.0109212022292];[41];[30];[11.9999];[]
Q3KPI0;1;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;IG_AdhesionProteins";Carcinoembryonic antigen-related cell adhesion molecule 21;[219];[3202.773813040148];[0];[1];[-4.7];[]
P13688;3;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;IG_AdhesionProteins";Carcinoembryonic antigen-related cell adhesion molecule 1;[317, 43, 64];[1371.0961416326502, 3036.5263536508764, 787.318413425587];[619, 1533, 552];[1261, 4588, 964];[2.79999, 0.29999, -0.2];['2GK2', '4QXW', '4WHD', '5DZL', '6AW2', '6GBG', '6GBH', '6V3P', '6XNO', '6XNT', '6XNW', '6XO1', '7MU8', '7RPP', '8CXJ']
P40198;3;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;IG_AdhesionProteins";Carcinoembryonic antigen-related cell adhesion molecule 3;[65, 106, 21];[1278.6743642734875, 1990.552472185399, 1493.4037735501292];[1476, 465, 19];[2150, 4272, 305];[9.89999, 5.6, 24.4];['6AVZ', '6AW0', '6AW1', '6AW3']
O75871;2;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;IG_AdhesionProteins";Carcinoembryonic antigen-related cell adhesion molecule 4;[66, 54];[1452.4482651737756, 1246.9031662720722];[56, 706];[352, 2525];[3.69999, 7.89999];[]
P06731;4;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;IG_AdhesionProteins";Carcinoembryonic antigen-related cell adhesion molecule 5;[65, 106, 476, 574];[1409.9271964583822, 989.8873381016945, 591.6247285240298, 1927.9300586238428];[2034, 1, 23, 65];[1402, 34, 239, 135];[-0.0999, 22.8, -2.7, -8.1];['1E07', '2QSQ', '2QST', '2VER']
P40199;4;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;IG_AdhesionProteins";Carcinoembryonic antigen-related cell adhesion molecule 6;[298, 177, 54, 65];[1001.0805224456791, 1509.9397985854132, 779.3932611432257, 1391.5514004660238];[243, 3393, 66, 2941];[912, 1887, 554, 5046];[-2.0, -5.3, -2.3, 7.0];['4WHC', '4WTZ', '4Y8A', '4YIQ']
Q14002;3;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;IG_AdhesionProteins";Carcinoembryonic antigen-related cell adhesion molecule 7;[64, 42, 194];[943.1286099624594, 1627.5672331509331, 1641.3898529757835];[1220, 47, 195];[3067, 1725, 540];[-7.6, -5.1, 17.5999];['4Y89']
P31997;3;Miscellaneous;StructuralAndAdhesion;"StructuralAndAdhesion;IG_AdhesionProteins";Carcinoembryonic antigen-related cell adhesion molecule 8;[284, 178, 54];[814.3822645089009, 1398.8810076225104, 891.0923940161382];[0, 5806, 102];[52, 3294, 779];[-1.4, -10.9, 4.6];['2DKS', '4WTZ', '4Y88', '4YIQ']
Q9NYQ6;8;Receptors;GPCR;"GPCR;Adhesion";Cadherin EGF LAG seven-pass G-type receptor 1;[341, 392, 900, 1035, 544, 1102, 1354, 584];[2001.6647896073741, 833.7354448823762, 1848.2392946051434, 711.3545091363134, 1168.4405322703606, 4801.965289286683, 1504.8013553420697, 2022.3603221011062];[440, 68, 6, 110, 0, 26, 238, 15];[3214, 338, 288, 632, 0, 420, 75, 260];[11.2, 3.69999, 7.29999, 1.79999, -11.6, 24.8, -4.1, 22.6];['7SZ8']
